wavelength flux
3993.3194919394236 21.90852
3995.9286761113826 162.45091
3998.5378602833416 103.10699
4001.1470444553006 139.96819
4003.7562286272596 87.95351
4006.3654127992186 107.54849
4008.9745969711776 146.70639
4011.5837811431365 126.60026
4014.1929653150955 176.40755
4016.802149487054 192.01797
4019.411333659013 138.2131
4022.020517830972 149.02582
4024.629702002931 180.3262
4027.23888617489 130.77496
4029.848070346849 190.95325
4032.457254518808 159.51822
4035.066438690767 153.58235
4037.675622862726 173.4764
4040.284807034685 103.02724
4042.893991206644 127.67829
4045.503175378603 106.05898
4048.112359550562 102.37851
4050.721543722521 130.7469
4053.33072789448 156.709
4055.9399120664384 169.66347
4058.5490962383974 238.8385
4061.1582804103564 153.23848
4063.7674645823154 138.10315
4066.3766487542744 157.41037
4068.9858329262333 112.61035
4071.5950170981923 126.83739
4074.2042012701513 207.23172
4076.8133854421103 141.4895
4079.4225696140693 199.92998
4082.0317537860283 160.38731
4084.6409379579873 102.79753
4087.2501221299462 107.317154
4089.8593063019052 100.84877
4092.468490473864 95.57752
4095.077674645823 97.74008
4097.686858817782 188.32628
4100.296042989741 402.39502
4102.9052271617 1161.6442
4105.514411333659 1017.83655
4108.123595505618 518.8008
4110.732779677577 104.340546
4113.341963849536 151.07683
4115.951148021495 98.55372
4118.560332193454 105.07114
4121.169516365413 119.307396
4123.778700537372 96.927925
4126.387884709331 160.9554
4128.99706888129 127.393326
4131.606253053249 124.9599
4134.215437225208 134.8715
4136.824621397167 22.005766
4139.433805569126 132.29587
4142.042989741085 133.7049
4144.652173913044 131.46533
4147.261358085003 91.672745
4149.870542256961 114.97772
4152.47972642892 94.23007
4155.088910600879 92.95588
4157.698094772838 104.7968
4160.307278944797 147.43137
4162.916463116756 178.03067
4165.525647288715 80.98706
4168.134831460674 74.86929
4170.744015632633 112.52394
4173.353199804592 130.41385
4175.962383976551 108.18823
4178.57156814851 126.06762
4181.180752320469 65.40626
4183.789936492428 79.2251
4186.399120664387 120.09989
4189.008304836346 133.38626
4191.617489008305 104.99122
4194.226673180264 91.53122
4196.835857352223 87.40341
4199.445041524182 106.180695
4202.054225696141 65.95918
4204.6634098681 107.76976
4207.272594040059 108.135544
4209.881778212018 63.715736
4212.490962383977 116.84788
4215.100146555936 70.39815
4217.709330727895 109.73195
4220.318514899854 69.753204
4222.927699071813 61.809425
4225.536883243772 97.07517
4228.146067415731 70.07454
4230.75525158769 58.29822
4233.364435759649 62.50783
4235.973619931608 91.30084
4238.582804103567 90.90475
4241.191988275526 106.9816
4243.801172447484 86.241165
4246.410356619443 100.05756
4249.019540791402 79.25781
4251.628724963361 50.20462
4254.23790913532 77.04757
4256.847093307279 101.364586
4259.4562774792375 97.99515
4262.0654616511965 51.29448
4264.6746458231555 67.094574
4267.2838299951145 86.38207
4269.8930141670735 114.40108
4272.5021983390325 70.92472
4275.1113825109915 101.90603
4277.72056668295 89.43407
4280.329750854909 79.674644
4282.938935026868 87.95714
4285.548119198827 96.87523
4288.157303370786 60.36809
4290.766487542745 85.08972
4293.375671714704 83.73512
4295.984855886663 99.58815
4298.594040058622 67.71272
4301.203224230581 64.26295
4303.81240840254 96.30312
4306.421592574499 71.771385
4309.030776746458 98.07978
4311.639960918417 76.3492
4314.249145090376 84.57587
4316.858329262335 88.19775
4319.467513434294 85.96921
4322.076697606253 70.48362
4324.685881778212 87.10676
4327.295065950171 54.73309
4329.90425012213 93.720764
4332.513434294089 118.066345
4335.122618466048 77.23371
4337.731802638007 174.24805
4340.340986809966 1016.9741
4342.950170981925 1476.6837
4345.559355153884 1028.4368
4348.168539325843 199.1582
4350.777723497802 63.2585
4353.386907669761 90.83894
4355.99609184172 85.94852
4358.605276013679 97.3185
4361.214460185638 127.18033
4363.823644357596 260.94327
4366.432828529555 300.48996
4369.042012701514 213.15884
4371.651196873473 107.72217
4374.260381045432 65.2782
4376.869565217391 61.381027
4379.47874938935 97.95515
4382.087933561309 85.91968
4384.697117733268 81.42345
4387.306301905227 97.4273
4389.915486077186 110.217186
4392.524670249145 87.44921
4395.133854421104 89.13229
4397.743038593063 76.89816
4400.352222765022 91.786316
4402.961406936981 104.12486
4405.57059110894 111.03033
4408.179775280899 90.669205
4410.788959452858 92.213844
4413.398143624817 84.10277
4416.007327796776 108.827736
4418.616511968735 109.1572
4421.225696140694 81.19712
4423.834880312653 72.31423
4426.444064484612 92.711876
4429.053248656571 67.17373
4431.66243282853 65.88243
4434.271617000489 83.97861
